facility_id,facility_name,address_1,address_2,city,state,postal_code,country,url,phone,begin_date,end_date,active,city_operated,notes,location
92,Primecare Wicker Park Health Center,1127 N Oakley Blvd,Fl 2,Chicago,IL,60622,United States of America,https://primecarehealth.org/,,2021-01-01,2021-12-31,true,false,Open to current patients only.,POINT (-87.68461 41.902138)
119,"Walgreens Store #4349",201 W Madison St,,Chicago,IL,60606,United States of America,https://www.walgreens.com/topic/promotion/covid-vaccine.jsp,,2021-01-01,2021-12-31,true,false,Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.,POINT (-87.634594 41.881927)
1,ACCESS Center for Discovery and Learning,5159 S Ashland Ave,,Chicago,IL,60609,United States of America,https://www.achn.net,(800) 836-7633,2021-02-04,2021-12-31,false,false,Open to current patients only.,POINT (-87.664649 41.800288)
106,"Walgreens Store #2840",1500 W Wilson Ave,,Chicago,IL,60640,United States of America,https://www.walgreens.com/topic/promotion/covid-vaccine.jsp,,2021-01-01,2021-12-31,true,false,Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.,POINT (-87.668285 41.965263)
138,"Walmart Store #5781",8331 S Stewart Ave,,Chicago,IL,60620,United States of America,https://www.walmart.com/cp/1228302,,2021-01-01,2021-12-31,true,false,Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.,POINT (-87.634052 41.740814)
29,Aunt Martha's Community Health Center,3528 E 118th St,,Chicago,IL,60617,United States of America,http://auntmarthas.org,(877) 692-8686,2021-01-01,2021-12-31,true,false,Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.,POINT (-87.537465 41.680954)
34,Chicago Family Health Center - East Side,10536 S Ewing Ave,,Chicago,IL,60617,United States of America,https://chicagofamilyhealth.org/,(773) 768-5000,2021-01-01,2021-12-31,true,false,Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.,POINT (-87.535291 41.703502)
79,Oak Street Health Little Village,3010 W 26th St,,Chicago,IL,60624,United States of America,https://www.oakstreethealth.com/covid-19-vaccine,773-209-5333,2021-01-01,2021-12-31,true,false,Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.,POINT (-87.700965 41.844623)
65,Mariano's Pharmacy 53100539,3857 S Martin Luther King Dr,,Chicago,IL,60653,United States of America,https://www.marianos.com/i/coronavirus-update/vaccine,,2021-01-01,2021-12-31,true,false,Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.,
47,Hamdard Center for Health and Human Services,1542 W Devon Ave,,Chicago,IL,60660,United States of America,https://hamdardcenter.org,,2021-01-01,2021-12-31,true,false,Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.,POINT (-87.66959 41.998032)
60,Mariano's Pharmacy 53100520,3145 S Ashland Ave,,Chicago,IL,60608,United States of America,https://www.marianos.com/i/coronavirus-update/vaccine,,2021-01-01,2021-12-31,true,false,Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.,POINT (-87.665638 41.836512)
48,Heartland Alliance Health - Englewood,5501 S Halsted,,Chicago,IL,60620,United States of America,https://www.heartlandalliance.org/heartland-alliance-health/,,2021-01-01,2021-12-31,true,false,Vaccine availability is limited and subject to change. Find more information using the link or phone number provided.,
